行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
大里區,13.83,109.33,25.32563981,14,14,住,3,2,2,1,坡道機械,2019/1/13,120.69276,24.092651999999998,440
北屯區,21.21,147.36,2.365551654,14,14,住,3,2,2,1,坡道平面,2018/5/10,120.740504,24.161138,705
西屯區,3.38,26.07,23.61992375,2,8,住,1,0,1,1,無,2018/6/23,120.638954,24.180007,160
北屯區,14.1,179.8,1.273126758,7,28,商,3,2,2,1,坡道平面,2018/7/29,120.697477,24.171067999999998,1238
北屯區,19.5,67.86,38.59079926,2,4,住,2,2,1,0,無,2018/12/21,120.712607,24.172194,358
大里區,24.03,123.48,3.9097312060000005,2,11,住,2,2,1,1,坡道機械,2019/2/27,120.68831200000001,24.095133999999998,633
東區,27.42,134.66,23.03674956,6,7,住,3,2,2,1,坡道平面,2017/2/13,120.69896100000001,24.127845999999998,495
北區,24.0,81.5,40.364963,5,5,住,4,2,2,0,無,2019/6/29,120.683802,24.162693,332
北區,26.4,83.46,39.57644579,5,5,住,2,1,2,0,無,2018/8/21,120.681845,24.164196,400
西屯區,9.29,88.92,1.52775211,17,22,住,1,2,1,1,坡道機械,2019/11/12,120.610251,24.194333,800
北屯區,24.5,81.35,34.76594317,2,5,住,7,3,4,0,無,2017/10/27,120.689805,24.172083999999998,700
西屯區,14.24,134.34,21.87587699,10,14,住,3,2,2,1,坡道平面,2019/11/24,120.64168799999999,24.169447,950
南區,8.94,57.44,22.81497909,12,18,住,1,1,1,1,無,2019/7/30,120.67369599999999,24.128195,305
南屯區,29.39,274.01,6.647638213,13,15,住,4,2,2,1,坡道平面,2019/3/31,120.62730900000001,24.149909,2760
南屯區,22.3,216.37,1.623578855,3,15,商,3,2,2,1,坡道平面,2019/9/18,120.64742199999999,24.133623999999998,1770
西區,10.98,120.15,11.92632292,8,15,住,2,2,1,1,坡道平面,2018/11/25,120.657801,24.134485,1010
北屯區,25.72,194.31,7.2362882189999995,8,15,住,4,2,2,1,坡道平面,2019/12/2,120.713606,24.181495,1230
北區,12.09,110.16,20.25777394,10,13,住,3,2,1,1,坡道機械,2019/4/23,120.68498500000001,24.168233999999998,598
南屯區,13.84,112.31,7.931716599,11,12,住,2,2,1,1,坡道平面,2017/8/7,120.616722,24.152971,715
北區,7.51,44.68,29.06288288,5,7,住,1,1,1,1,無,2017/7/10,120.67756000000001,24.152515,180
南屯區,22.07,327.02,0.010951628,13,26,商,3,2,3,1,坡道平面,2019/1/29,120.624711,24.151926,3284
